Cue Nr.;Musiktitelstück (Title);TC Start;TC Ende (Finish);Länge in Sek. (Duration);Duration (s);Komponist/Texter/Bearbeiter (Composer, Written by);Nr. (Track Number on CD);Nutzungsart (Type of use - ILLM (Background) or VOR (Title));Musik Typ;Verlag (Publisher);CD-Titel;Interpret (Performer);Label;Label code;Gema Nr.;CDCatalog Nr.;ISRC;ISWC;BmatId;Video Link
1;Hip Teens Don't Wear Blue Jeans (Original Version);00:00:00;00:00:39;00:00:39;39;Frank Popp (T), Philip Noah (T), Sam Leigh Brown (T);N/A;VOR;VTON;Amv Alster (V), Edition Unique Music (V);N/A;Frank Popp Ensemble (INT);Warner Music Group;06350;---;N/A;DEA610300067;T8016584616;b7c1d655-1547-4fdc-af27-10f385591a1c;N/A
2;Sexy Lady;00:01:06;00:01:18;00:00:12;12;Don Black (T), John Barry (T), Victor Molina (T), Ricky M. Walters (T), Robert Watson (T), Christian Ward (T), Douglas L. Davis (T), Don Black (K), John Barry (K), Victor Molina (K), Ricky M. Walters (K), Robert Watson (K), Christian Ward (K), Douglas L. Davis (K);N/A;ILLM;VTON;N/A;N/A;Yung Berg Featuring Junior (INT);Epic;00199;9790934;N/A;USSM10802645;T9020406091;7a89c6c6-9d15-4bb1-96fe-c4a34362e1dc;N/A
3;Mountain Sound;00:01:41;00:02:01;00:00:20;20;Ragnar Rhallsson (K), Arnar Renkranz Hilmarsson (K), Nanna Bryndís Hilmarsdóttir (K), Ragnar Rhallsson (T), Arnar Renkranz Hilmarsson (T), Nanna Bryndís Hilmarsdóttir (T);N/A;ILLM;VTON;Sony (V), Atv Music Publishing (V);N/A;Of Monsters And Men (INT);Universal Music Group;---;---;N/A;USUM71202068;T9116230865;be8c4059-8944-40df-a903-f2068693419e;N/A
4;Boys & Girls Feat. Pia Mia;00:02:22;00:02:39;00:00:17;17;William Adams (T), Jef Martens (T), Charlotte Aitchison (T), William Adams (K), Jef Martens (K), Charlotte Aitchison (K);N/A;ILLM;VTON;Foray Music (V), Cherry River Music Co. (V), Songs Of Kobalt Music Publishing (V);N/A;Will.I.Am (INT);Universal Music;14666;16781793;N/A;USUM71602635;T9190979976;25242bb9-1366-443b-8ec7-8ffadf2a1eb4;N/A
5;Payphone;00:03:23;00:03:41;00:00:18;18;Shellback (T), Dan Omelio (T), Benjamin Levin (T), A. Levine (T), Tomaz (T), Shellback (K), Dan Omelio (K), Benjamin Levin (K), A. Levine (K), Tomaz (K);N/A;ILLM;VTON;N/A;N/A;Maroon 5 (INT);Universal Music Group;---;---;N/A;USUM71203844;T9117980526;b0a660cc-a228-41e6-9cff-765dec5dcaea;N/A
6;Conché;00:04:50;00:06:17;00:01:27;87;Simon Shark (K);N/A;ILLM;PLM;Av Music Publishers Bv (V);N/A;Simon Shark (INT);AV Music;---;---;N/A;GBBHS0400211;---;ce31f0e4-480d-4328-9ad9-a55238a90e42;N/A
7;Dream Within A Dream;00:06:17;00:07:02;00:00:45;45;Hans Zimmer (K);N/A;ILLM;VTON;Warner Olive Music (Ascap) (V);N/A;Hans Zimmer (INT);Warner Music Group;00322;---;N/A;USRE11000574;T9050153190;caef574e-b2a8-4526-a7f8-339a7df67f31;N/A
8;Bungalow;00:07:05;00:08:03;00:00:58;58;Maurice Ernst (T), Mizzy Blue (T), Peter Horazdovsky (K), Philipp Scheibl (K);N/A;ILLM;VTON;Bilderbuch Musik Og (V);N/A;Bilderbuch (INT);Maschin Records;14666;---;N/A;ATAI71700001;---;7491b684-6aaa-4909-9324-88384b5c7388;N/A
9;Symphony;00:08:28;00:08:49;00:00:21;21;N/A;N/A;ILLM;VTON;N/A;N/A;Funny (INT);Replay Music;---;---;N/A;ITAF01700009;---;3caad82c-c871-4a2f-a7c5-b3a3da0be35f;N/A
10;Single Ladies (Put A Ring On It);00:09:18;00:09:32;00:00:14;14;"Beyoncé Knowles (T), Christopher ""Tricky"" Stewart (T), Thaddis Harrell (T), Terius ""The-Dream"" Nash (T), Beyoncé Knowles (K), Christopher ""Tricky"" Stewart (K), Thaddis Harrell (K), Terius ""The-Dream"" Nash (K)";N/A;ILLM;VTON;N/A;N/A;Beyoncé (INT);Sony Music Entertainment;---;---;N/A;USSM10803760;T9020030175;86990c87-c6d0-443e-ba55-2fa58bb48dea;N/A
